bar_ts,session,side,entry,exit,exit_reason,pnl,cum_pnl,signal_type,score
2026-03-13 09:33:00,2026-03-13,SHORT,24663.5,24673.5,STOP,-200.7,1611.0,both,58.8
2026-03-13 13:50:00,2026-03-13,LONG,24367.75,24387.75,TARGET,399.3,2010.3,both,50.5
2026-03-16 15:10:00,2026-03-16,SHORT,24770.0,24750.0,TARGET,399.3,2409.6,both,65.0
2026-03-17 11:31:00,2026-03-17,SHORT,24800.5,24780.5,TARGET,399.3,2808.9,both,56.0
2026-03-17 15:02:00,2026-03-17,SHORT,24788.75,24768.75,TARGET,399.3,3208.2,both,50.5
2026-03-18 11:09:00,2026-03-18,LONG,24713.0,24703.0,STOP,-200.7,3007.5,both,50.2
2026-03-18 13:31:00,2026-03-18,LONG,24601.25,24621.25,TARGET,399.3,3406.8,both,55.7
2026-03-18 14:37:00,2026-03-18,SHORT,24609.25,24619.25,STOP,-200.7,3206.1,both,50.4
2026-03-18 15:23:00,2026-03-18,LONG,24506.25,24496.25,STOP,-200.7,3005.4,both,53.1
2026-03-23 14:35:00,2026-03-23,SHORT,24515.5,24525.5,STOP,-200.7,2804.7,both,58.4
2026-03-24 10:52:00,2026-03-24,SHORT,24296.5,24306.5,STOP,-200.7,2604.0,both,65.0
2026-03-24 12:38:00,2026-03-24,LONG,24263.5,24253.5,STOP,-200.7,2403.3,both,56.7
2026-03-24 13:52:00,2026-03-24,SHORT,24188.75,24198.75,STOP,-200.7,2202.6,both,61.4
2026-03-25 13:52:00,2026-03-25,SHORT,24420.75,24430.75,STOP,-200.7,2001.9,both,51.2
2026-03-25 13:58:00,2026-03-25,SHORT,24432.25,24412.25,TARGET,399.3,2401.2,both,51.7
2026-03-26 10:40:00,2026-03-26,SHORT,24179.75,24159.75,TARGET,399.3,2800.5,both,62.2
2026-03-26 10:41:00,2026-03-26,LONG,24175.0,24165.0,STOP,-200.7,2599.8,both,61.8
2026-03-26 10:55:00,2026-03-26,LONG,24069.0,24089.0,TARGET,399.3,2999.1,both,55.5
2026-03-27 09:32:00,2026-03-27,LONG,23607.25,23597.25,STOP,-200.7,2798.4,both,60.6
2026-03-27 13:57:00,2026-03-27,LONG,23360.5,23350.5,STOP,-200.7,2597.7,both,50.2
2026-03-27 14:42:00,2026-03-27,LONG,23368.75,23388.75,TARGET,399.3,2997.0,both,52.1
2026-03-27 14:43:00,2026-03-27,SHORT,23370.25,23350.25,TARGET,399.3,3396.3,both,63.4
2026-03-30 10:36:00,2026-03-30,LONG,23308.0,23328.0,TARGET,399.3,3795.6,both,50.3
2026-03-30 15:06:00,2026-03-30,LONG,23100.75,23090.75,STOP,-200.7,3594.9,both,55.5
2026-04-01 13:30:00,2026-04-01,SHORT,24331.5,24311.5,TARGET,399.3,3994.2,both,53.3
2026-04-02 13:16:00,2026-04-02,SHORT,24162.75,24172.75,STOP,-200.7,3793.5,both,53.7
2026-04-06 10:00:00,2026-04-06,SHORT,24398.25,24378.25,TARGET,399.3,4192.8,both,54.0
2026-04-06 11:33:00,2026-04-06,LONG,24271.75,24261.75,STOP,-200.7,3992.1,both,53.1
2026-04-06 13:34:00,2026-04-06,SHORT,24308.75,24318.75,STOP,-200.7,3791.4,both,51.8
2026-04-07 12:03:00,2026-04-07,SHORT,24192.5,24202.5,STOP,-200.7,3590.7,both,65.0
2026-04-07 12:23:00,2026-04-07,SHORT,24184.75,24194.75,STOP,-200.7,3390.0,both,63.1
2026-04-07 12:48:00,2026-04-07,SHORT,24227.5,24207.5,TARGET,399.3,3789.3,both,50.9
2026-04-07 15:20:00,2026-04-07,SHORT,24258.5,24238.5,TARGET,399.3,4188.6,both,57.2
2026-04-08 09:33:00,2026-04-08,LONG,25154.25,25174.25,TARGET,399.3,4587.9,both,54.9
2026-04-08 11:35:00,2026-04-08,SHORT,25038.25,25048.25,STOP,-200.7,4387.2,both,54.0
2026-04-08 14:00:00,2026-04-08,LONG,25093.25,25113.25,TARGET,399.3,4786.5,both,53.6
