bar_ts,session,side,entry,exit,exit_reason,pnl,cum_pnl,signal_type,score
2026-02-20 14:23:00,2026-02-20,SHORT,24962.5,24970.5,STOP,-160.7,346.4,both,51.0
2026-02-20 14:24:00,2026-02-20,LONG,24984.5,24976.5,STOP,-160.7,185.7,both,52.9
2026-02-20 14:30:00,2026-02-20,LONG,24980.25,24972.25,STOP,-160.7,25.0,both,52.2
2026-02-24 15:17:00,2026-02-24,LONG,25001.75,25016.75,TARGET,299.3,324.3,both,54.3
2026-02-25 10:19:00,2026-02-25,LONG,25140.25,25155.25,TARGET,299.3,623.6,both,62.2
2026-02-25 13:08:00,2026-02-25,LONG,25330.75,25322.75,STOP,-160.7,462.9,both,64.5
2026-02-25 13:30:00,2026-02-25,LONG,25322.0,25337.0,TARGET,299.3,762.2,both,55.9
2026-02-25 15:02:00,2026-02-25,SHORT,25361.0,25369.0,STOP,-160.7,601.5,both,65.0
2026-02-26 15:00:00,2026-02-26,LONG,24998.25,25013.25,TARGET,299.3,900.8,both,51.1
2026-02-27 10:30:00,2026-02-27,SHORT,24828.25,24836.25,STOP,-160.7,740.1,both,65.0
2026-02-27 13:30:00,2026-02-27,SHORT,24957.0,24942.0,TARGET,299.3,1039.4,both,55.1
2026-02-27 13:31:00,2026-02-27,LONG,24952.0,24967.0,TARGET,299.3,1338.7,both,51.9
2026-03-02 10:30:00,2026-03-02,LONG,24683.75,24698.75,TARGET,299.3,1638.0,both,61.1
2026-03-02 10:33:00,2026-03-02,SHORT,24786.75,24794.75,STOP,-160.7,1477.3,both,56.6
2026-03-02 14:38:00,2026-03-02,LONG,25013.25,25005.25,STOP,-160.7,1316.6,both,54.1
2026-03-03 10:35:00,2026-03-03,LONG,24551.75,24543.75,STOP,-160.7,1155.9,both,52.3
2026-03-06 10:30:00,2026-03-06,SHORT,24682.0,24690.0,STOP,-160.7,995.2,both,65.0
2026-03-06 10:33:00,2026-03-06,SHORT,24697.25,24705.25,STOP,-160.7,834.5,both,53.9
2026-03-09 14:21:00,2026-03-09,SHORT,24647.25,24632.25,TARGET,299.3,1133.8,both,57.0
2026-03-11 09:35:00,2026-03-11,SHORT,25079.5,25087.5,STOP,-160.7,973.1,both,51.7
2026-03-11 13:40:00,2026-03-11,SHORT,24919.5,24904.5,TARGET,299.3,1272.4,both,51.8
2026-03-12 15:01:00,2026-03-12,SHORT,24595.75,24580.75,TARGET,299.3,1571.7,both,52.2
2026-03-13 09:33:00,2026-03-13,SHORT,24663.5,24671.5,STOP,-160.7,1411.0,both,58.8
2026-03-13 13:50:00,2026-03-13,LONG,24367.75,24382.75,TARGET,299.3,1710.3,both,50.5
2026-03-16 15:10:00,2026-03-16,SHORT,24770.0,24755.0,TARGET,299.3,2009.6,both,65.0
2026-03-17 11:31:00,2026-03-17,SHORT,24800.5,24785.5,TARGET,299.3,2308.9,both,56.0
2026-03-17 15:02:00,2026-03-17,SHORT,24788.75,24773.75,TARGET,299.3,2608.2,both,50.5
2026-03-18 11:09:00,2026-03-18,LONG,24713.0,24705.0,STOP,-160.7,2447.5,both,50.2
2026-03-18 13:31:00,2026-03-18,LONG,24601.25,24616.25,TARGET,299.3,2746.8,both,55.7
2026-03-18 14:37:00,2026-03-18,SHORT,24609.25,24617.25,STOP,-160.7,2586.1,both,50.4
2026-03-18 15:23:00,2026-03-18,LONG,24506.25,24498.25,STOP,-160.7,2425.4,both,53.1
2026-03-23 14:35:00,2026-03-23,SHORT,24515.5,24523.5,STOP,-160.7,2264.7,both,58.4
2026-03-24 10:52:00,2026-03-24,SHORT,24296.5,24304.5,STOP,-160.7,2104.0,both,65.0
2026-03-24 12:38:00,2026-03-24,LONG,24263.5,24255.5,STOP,-160.7,1943.3,both,56.7
2026-03-24 13:52:00,2026-03-24,SHORT,24188.75,24196.75,STOP,-160.7,1782.6,both,61.4
2026-03-25 13:52:00,2026-03-25,SHORT,24420.75,24405.75,TARGET,299.3,2081.9,both,51.2
2026-03-25 13:58:00,2026-03-25,SHORT,24432.25,24417.25,TARGET,299.3,2381.2,both,51.7
2026-03-26 10:40:00,2026-03-26,SHORT,24179.75,24164.75,TARGET,299.3,2680.5,both,62.2
2026-03-26 10:41:00,2026-03-26,LONG,24175.0,24167.0,STOP,-160.7,2519.8,both,61.8
2026-03-26 10:55:00,2026-03-26,LONG,24069.0,24061.0,STOP,-160.7,2359.1,both,55.5
2026-03-27 09:32:00,2026-03-27,LONG,23607.25,23599.25,STOP,-160.7,2198.4,both,60.6
2026-03-27 13:57:00,2026-03-27,LONG,23360.5,23352.5,STOP,-160.7,2037.7,both,50.2
2026-03-27 14:42:00,2026-03-27,LONG,23368.75,23383.75,TARGET,299.3,2337.0,both,52.1
2026-03-27 14:43:00,2026-03-27,SHORT,23370.25,23355.25,TARGET,299.3,2636.3,both,63.4
2026-03-30 10:36:00,2026-03-30,LONG,23308.0,23323.0,TARGET,299.3,2935.6,both,50.3
2026-03-30 15:06:00,2026-03-30,LONG,23100.75,23092.75,STOP,-160.7,2774.9,both,55.5
