hypothesis,alert_timestamp_utc,alert_price,entry_bar_index,entry_price,direction_label,trade_date_et,day_of_week,time_bucket_30m,trade_pnl_ticks,mfe_ticks,mae_ticks,success_flag,prior_30m_absorptions,near_session_level_10t,nearest_session_level_distance_ticks,es_confluence_30m,nearest_es_absorption_minutes,entry_delay_bars,stop_loss_ticks,take_profit_ticks,entry_timestamp_utc,exit_timestamp_utc,exit_price,direction,pnl_ticks,outcome,bars_held
absorption_baseline,2025-10-22 16:30:40+00:00,25000.0,283300.0,24923.75,short_reversal,2025-10-22,Wednesday,12:30,-362.0,227.0,-391.0,True,0.0,False,858.0,False,,,,,,,,,,,
absorption_param_sweep_best,2025-10-22 16:30:40+00:00,25000.0,,24880.5,,,,,,54.0,-624.0,,,,,,,1.0,40.0,40.0,2025-10-22 16:32:00+00:00,2025-10-22 16:32:00+00:00,24890.5,short_reversal,-40.0,stop_loss,1.0
absorption_baseline,2025-10-22 16:30:41+00:00,25000.0,283300.0,24923.75,short_reversal,2025-10-22,Wednesday,12:30,-362.0,227.0,-391.0,True,1.0,False,858.0,False,,,,,,,,,,,
absorption_param_sweep_best,2025-10-22 16:30:41+00:00,25000.0,,24880.5,,,,,,54.0,-624.0,,,,,,,1.0,40.0,40.0,2025-10-22 16:32:00+00:00,2025-10-22 16:32:00+00:00,24890.5,short_reversal,-40.0,stop_loss,1.0
absorption_baseline,2025-10-22 16:30:42+00:00,25000.0,283300.0,24923.75,short_reversal,2025-10-22,Wednesday,12:30,-362.0,227.0,-391.0,True,2.0,False,858.0,False,,,,,,,,,,,
absorption_param_sweep_best,2025-10-22 16:30:42+00:00,25000.0,,24880.5,,,,,,54.0,-624.0,,,,,,,1.0,40.0,40.0,2025-10-22 16:32:00+00:00,2025-10-22 16:32:00+00:00,24890.5,short_reversal,-40.0,stop_loss,1.0
absorption_baseline,2025-10-22 16:30:43+00:00,25000.0,283300.0,24923.75,short_reversal,2025-10-22,Wednesday,12:30,-362.0,227.0,-391.0,True,3.0,False,858.0,False,,,,,,,,,,,
absorption_param_sweep_best,2025-10-22 16:30:43+00:00,25000.0,,24880.5,,,,,,54.0,-624.0,,,,,,,1.0,40.0,40.0,2025-10-22 16:32:00+00:00,2025-10-22 16:32:00+00:00,24890.5,short_reversal,-40.0,stop_loss,1.0
absorption_baseline,2025-10-22 16:30:44+00:00,25000.0,283300.0,24923.75,short_reversal,2025-10-22,Wednesday,12:30,-362.0,227.0,-391.0,True,4.0,False,858.0,False,,,,,,,,,,,
absorption_param_sweep_best,2025-10-22 16:30:44+00:00,25000.0,,24880.5,,,,,,54.0,-624.0,,,,,,,1.0,40.0,40.0,2025-10-22 16:32:00+00:00,2025-10-22 16:32:00+00:00,24890.5,short_reversal,-40.0,stop_loss,1.0
