trade_count,win_rate,profit_factor,expectancy_ticks,median_ticks,net_ticks,sharpe,max_consecutive_losses,sl_ticks,tp_ticks,r_multiple
70,0.3,0.6428571428571429,-2.5,-10.0,-175.0,-0.2166535841157586,10,10,15,1.5
70,0.7428571428571429,0.5777777777777777,-5.428571428571429,10.0,-380.0,-0.20552750361339656,4,50,10,0.2
70,0.6285714285714286,0.5641025641025641,-4.857142857142857,10.0,-340.0,-0.2495062556898556,4,30,10,0.3333333333333333
70,0.21428571428571427,0.5454545454545454,-1.7857142857142858,-5.0,-125.0,-0.28804961894191594,16,5,10,2.0
70,0.44285714285714284,0.5299145299145299,-3.9285714285714284,-15.0,-275.0,-0.3140906874507465,7,15,10,0.6666666666666666
70,0.8857142857142857,0.5166666666666667,-4.142857142857143,5.0,-290.0,-0.1616004992014749,2,75,5,0.06666666666666667
70,0.5,0.5,-5.0,-5.0,-350.0,-0.33094381626464864,6,20,10,0.5
70,0.32857142857142857,0.48936170212765956,-3.4285714285714284,-10.0,-240.0,-0.36236306500726445,8,10,10,1.0
70,0.8,0.4,-6.0,5.0,-420.0,-0.2707722133074398,4,50,5,0.1
70,0.6714285714285714,0.34057971014492755,-6.5,5.0,-455.0,-0.3925599870912031,4,30,5,0.16666666666666666
70,0.4714285714285714,0.2972972972972973,-5.571428571428571,-15.0,-390.0,-0.554054268078617,7,15,5,0.3333333333333333
70,0.5428571428571428,0.296875,-6.428571428571429,5.0,-450.0,-0.5124850997283815,6,20,5,0.25
70,0.22857142857142856,0.2962962962962963,-2.7142857142857144,-5.0,-190.0,-0.6417594243407406,15,5,5,1.0
70,0.34285714285714286,0.2608695652173913,-4.857142857142857,-10.0,-340.0,-0.6772962119561563,8,10,5,0.5
