signal_id,category,score_tier,n_1b,wr_1b,avg_1b,sharpe_1b,n_5b,wr_5b,avg_5b,sharpe_5b,n_10b,wr_10b,avg_10b,sharpe_10b,n_15b,wr_15b,avg_15b,sharpe_15b,n_30b,wr_30b,avg_30b,sharpe_30b
DELT_01,delta,TYPE_B,1872,0.4732905982905983,2.030448717948718,0.00936707730709933,1871,0.4813034188034188,0.9032602886157135,0.003097777982839155,1871,0.49145299145299143,1.1411010154997328,0.003165062346001934,1871,0.49198717948717946,3.254943880277926,0.008216063126845499,1871,0.4962606837606838,0.5125601282736505,0.0010585557804822286
DELT_01,delta,TYPE_C,32344,0.49165223843680433,-0.41466732624288893,-0.006730264453121455,32341,0.4974956715310413,0.45230512352741103,0.002400583236581425,32337,0.501143952510512,0.3128923524136438,0.001155026744420975,32336,0.4989178827603265,1.1974888668975754,0.0036437813317334363,32334,0.49768117734355677,0.10880188037360054,0.00024256856392677236
DELT_02,delta,QUIET,3892,0.48098663926002055,-1.4272867420349435,-0.033365433727152415,3892,0.4858684480986639,-2.281089414182939,-0.023984710736939568,3892,0.5038540596094553,1.5878725590955807,0.01180923607646974,3892,0.5095066803699897,4.266700924974306,0.026144547795686725,3892,0.5087358684480987,4.859712230215828,0.021653399991417265
DELT_02,delta,TYPE_A,229,0.47161572052401746,-10.135371179039302,-0.050275431431111274,229,0.48034934497816595,-0.9126637554585153,-0.003395119567743325,229,0.4366812227074236,1.5676855895196506,0.00424828198855134,229,0.48034934497816595,-15.829694323144105,-0.032154239007677526,229,0.462882096069869,-32.97379912663755,-0.04840967729269423
DELT_02,delta,TYPE_B,821,0.5261875761266748,1.9939098660170524,0.01939098050804716,821,0.47503045066991473,-10.68940316686967,-0.049279299638779195,821,0.48112058465286234,-19.74908647990256,-0.07201879283152517,821,0.48477466504263095,-23.5931790499391,-0.08008558061443384,821,0.5030450669914738,-29.09500609013398,-0.07838575594365572
DELT_02,delta,TYPE_C,4884,0.4967239967239967,0.013513513513513514,0.00027043588214676576,4884,0.49692874692874694,1.3681408681408682,0.009282353904185942,4884,0.5157657657657657,3.718877968877969,0.017910799931633203,4882,0.5051187551187551,4.275911511675543,0.016912885753846193,4882,0.5002047502047502,7.004301515772225,0.018858187009851278
DELT_04,delta,QUIET,11937,0.4945128591773477,0.25408394068861523,0.006292380241129893,11937,0.5054033676803217,0.9090223674290022,0.010166569100781881,11937,0.508251654519561,0.03267152550892184,0.0002580996067355713,11936,0.5046494093993465,-0.3672084450402145,-0.002159662863621999,11936,0.5047331825416771,-2.728636058981233,-0.01092030485380764
DELT_04,delta,TYPE_A,179,0.4444444444444444,19.76536312849162,0.05409981313939314,179,0.4777777777777778,28.18435754189944,0.06318220649219834,179,0.5333333333333333,55.49162011173184,0.10195794593483247,179,0.5333333333333333,59.279329608938546,0.10007371282300707,179,0.5333333333333333,87.41340782122904,0.13079423250696862
DELT_04,delta,TYPE_B,590,0.5101694915254237,1.9983050847457626,0.01197218504787581,590,0.5033898305084745,0.2559322033898305,0.0011237046975798215,590,0.4966101694915254,5.2677966101694915,0.0179325524157526,590,0.5474576271186441,20.772881355932203,0.06526441846261263,590,0.5271186440677966,29.66949152542373,0.0702657352441076
DELT_04,delta,TYPE_C,7964,0.49183827222501253,-0.16323455549974886,-0.0032693239329423386,7963,0.4963586137619287,0.0734647745824438,0.0004660710460862688,7962,0.4937217478653943,-3.0262496860085406,-0.013036388833831004,7962,0.5015067805123054,-0.2956543582014569,-0.0010395140210867795,7961,0.5066549472626821,8.529330486119834,0.021330571219574528
