signal_id,category,primary_window,n_1b,n_5b,n_10b,n_15b,n_30b,wr_1b,wr_5b,wr_10b,wr_15b,wr_30b,avg_1b,avg_5b,avg_10b,avg_15b,avg_30b,sharpe_1b,sharpe_5b,sharpe_10b,sharpe_15b,sharpe_30b
ENG_05,other,5,119493,119489,119485,119480,119467,0.4538516500341549,0.46036070696681086,0.4625277753786481,0.4621037837328539,0.46046277902968724,-0.5614387453658374,-0.8214731063110412,-1.1360505502782776,-0.7532390358218949,-1.827550704378615,-0.009006425090310095,-0.005901408896476364,-0.005765911006260374,-0.0031207402791413688,-0.005361072175502365
AUCT_02,auction,5,76474,76470,76466,76461,76450,0.49746976135992155,0.4934423014056881,0.4958352402745995,0.49437070938215105,0.493939195815626,-0.043374218688704655,-0.9200209232378711,-1.0247168676274423,-1.6560861092583148,-1.6043819489862656,-0.0007644670148151336,-0.007651578820163022,-0.0063988185720713735,-0.008442385140655867,-0.005818539364433978
IMB_01,imbalance,5,127223,127219,127214,127209,127194,0.4866377413066717,0.4920455260013834,0.4944428724140099,0.494631516066151,0.49226561026221466,-0.5830392303278495,-1.0053293926221711,-0.827000172936941,-1.1111084907514406,-2.554098463764014,-0.009321821282594301,-0.007231107190863796,-0.004207706723312846,-0.004609779681345875,-0.007513979517070292
TRAP_05,trapped,5,54052,54050,54048,54046,54039,0.48214682157922,0.48806704654776883,0.48825205357803597,0.48630947976023087,0.4825908384518612,-0.5047916820839192,-1.0503977798334876,-1.467935908821788,-3.022943418569367,-6.05773607949814,-0.007917196513125245,-0.00752664875105205,-0.007379115082467967,-0.012327985575392574,-0.01764559467075577
IMB_06,imbalance,5,125826,125822,125817,125812,125797,0.4867079402671923,0.49215192287823756,0.49467920239694185,0.494861993053955,0.4925254516121341,-0.6311573124791379,-1.0635580423137447,-0.8629914876368059,-1.1651750230502655,-2.5860394127045954,-0.010319496780004087,-0.007681398956433303,-0.004393196592087381,-0.004832848273027182,-0.007595139667229862
DELT_02,delta,5,9826,9826,9826,9824,9824,0.49236718909016897,0.4903317728475473,0.506309790352127,0.5045796865458987,0.5029513535518013,-0.6282312232851618,-1.1378994504376145,0.8638306533686139,1.4745521172638436,2.2059242671009773,-0.010198784382988135,-0.00804732303113773,0.004427733652709179,0.006273439179908121,0.006624231806759585
AUCT_05,auction,5,3145,3145,3145,3145,3144,0.4764780673871583,0.4729815638906548,0.46853146853146854,0.47584233947870314,0.4888747616020343,-1.4976152623211447,-1.2534181240063593,-4.324642289348172,-4.710969793322734,-8.77767175572519,-0.018194341789082698,-0.010371757271503817,-0.026755210014606234,-0.025009999434652208,-0.03509020794567247
ENG_06,poc,5,1884,1884,1884,1884,1884,0.2176567269312045,0.21859591453392815,0.2087344447053299,0.21225639821554357,0.2131955858182672,-0.32961783439490444,-1.5599787685774946,-7.0217622080679405,-11.467091295116774,-10.671974522292993,-0.007706498780557037,-0.015797747181135576,-0.04723847321941406,-0.05940487842718426,-0.03909794378963387
DELT_10,delta,5,20949,20947,20944,20944,20944,0.4903579952267303,0.49599045346062054,0.5013365155131265,0.5034367541766109,0.495799522673031,-0.2566232278390377,-1.912254738148661,-2.595254010695187,-2.606378915202445,-2.1799560733384262,-0.004331770454403538,-0.013967673487280882,-0.013567151467945444,-0.011156718038354442,-0.00664449069591036
IMB_02,imbalance,5,8521,8521,8521,8521,8517,0.48973125220044594,0.5009975355005281,0.505926534444314,0.502757892266166,0.5022884637953292,-1.273676798497829,-2.617181082032625,-3.973829362750851,-4.491843680319211,-5.9185159093577555,-0.01859611809299631,-0.018614103704468348,-0.020460507931783355,-0.018714812068590513,-0.016770441726495108
VOLP_03,volume_profile,5,1557,1556,1556,1556,1556,0.4594767070835992,0.4658583280153159,0.47351627313337585,0.47223994894703253,0.4843650287172942,-7.6024405908798975,-3.4389460154241647,-5.226221079691516,-0.02892030848329049,7.773778920308484,-0.02027170345280539,-0.007872641553581097,-0.010258919107389611,-5.2736117783717476e-05,0.012557961226172606
ABS_03,absorption,5,858,858,856,856,856,0.4755244755244755,0.4592074592074592,0.46503496503496505,0.4568764568764569,0.45104895104895104,3.710955710955711,-11.348484848484848,-12.917056074766355,-24.285046728971963,-28.807242990654206,0.027362930576591702,-0.04048546201045218,-0.03514833907452889,-0.05687023791084901,-0.05275008235942965
ABS_01,absorption,5,2,2,2,2,2,0.5,0.5,0.5,0.5,0.5,21.0,-687.0,-559.5,-625.5,-673.5,0.37123106012293744,-0.6989674225541844,-0.6304800702372484,-0.5666819879976752,-0.48719838069477217
REGIME_CHANGE,other,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
