label,cohort,n,wr_5b,avg_5b,median_5b,sharpe_5b,wr_10b,avg_10b,median_10b,sharpe_10b,wr_15b,avg_15b,median_15b,sharpe_15b,wr_30b,avg_30b,median_30b,sharpe_30b,category,signal_id,score_tier,combo_name,gap_bars,combo_type,n_signals,filter
absorption_then_exhaustion_30 gap=15,sequence_gap,272,0.45588235294117646,-3.770220588235294,-1.75,-0.09097667183800535,0.4889705882352941,-0.8639705882352942,-0.5,-0.016968039479728816,0.4852941176470588,4.741727941176471,-1.0,0.06565419443386754,0.4632352941176471,6.802389705882353,-3.5,0.07049184528776986,,,,absorption_then_exhaustion_30,15.0,,,
absorption_then_exhaustion_30 gap=27,sequence_gap,265,0.5056603773584906,-1.6981132075471699,0.5,-0.060477303652782255,0.5283018867924528,-0.9216981132075471,1.25,-0.018963512573841913,0.5207547169811321,1.1075471698113208,2.5,0.018848450795861914,0.5056603773584906,0.10566037735849057,1.25,0.0013556905117928762,,,,absorption_then_exhaustion_30,27.0,,,
absorption_then_exhaustion_30 gap=20,sequence_gap,271,0.5202952029520295,-0.36162361623616235,1.25,-0.007397971795264892,0.4870848708487085,-1.0922509225092252,-0.5,-0.015678881871545584,0.4944649446494465,-1.731549815498155,-0.25,-0.021281285956887323,0.4797047970479705,-2.7878228782287824,-1.75,-0.03119399075328104,,,,absorption_then_exhaustion_30,20.0,,,
absorption_then_exhaustion_30 gap=29,sequence_gap,269,0.49814126394052044,0.8131970260223048,0.0,0.029388030276043572,0.483271375464684,-1.4804832713754648,-1.0,-0.03482838672927316,0.4684014869888476,-3.79089219330855,-2.0,-0.07449978382520833,0.4721189591078067,-9.925650557620818,-5.0,-0.13024341431876849,,,,absorption_then_exhaustion_30,29.0,,,
absorption_then_exhaustion_30 gap=16,sequence_gap,282,0.49645390070921985,0.08421985815602837,0.0,0.0019366907907748389,0.5,-1.6391843971631206,0.0,-0.031375635674815154,0.44680851063829785,-7.1888297872340425,-2.625,-0.0894519865633569,0.46808510638297873,-8.938829787234043,-4.875,-0.08841360863610387,,,,absorption_then_exhaustion_30,16.0,,,
absorption_then_exhaustion_30 gap=10,sequence_gap,302,0.4735099337748344,-4.332781456953643,-1.125,-0.06862385278978474,0.4602649006622517,-1.9975165562913908,-1.25,-0.02622168514817839,0.49337748344370863,-0.35844370860927155,-1.25,-0.004532136922107751,0.49337748344370863,-1.0298013245033113,-2.375,-0.009602036731530605,,,,absorption_then_exhaustion_30,10.0,,,
absorption_then_exhaustion_30 gap=2,sequence_gap,345,0.45217391304347826,-4.506521739130434,-2.25,-0.08481658180192088,0.5,-2.5050872093023258,0.0,-0.03743180231081905,0.48255813953488375,-10.451308139534884,-0.75,-0.11387754056704917,0.4622093023255814,-9.996366279069768,-3.875,-0.0735646959402511,,,,absorption_then_exhaustion_30,2.0,,,
absorption_then_exhaustion_30 gap=4,sequence_gap,309,0.4854368932038835,-2.205501618122977,-0.25,-0.03972394404530255,0.4919093851132686,-2.5331715210355985,-0.5,-0.037460587194003414,0.4919093851132686,-2.5258899676375406,-0.25,-0.031078965289342106,0.4886731391585761,-3.6189320388349513,-1.0,-0.030648051792406438,,,,absorption_then_exhaustion_30,4.0,,,
absorption_then_exhaustion_30 gap=3,sequence_gap,336,0.4732142857142857,-1.7552083333333333,-1.125,-0.03021120718836513,0.46726190476190477,-2.6108630952380953,-1.0,-0.034891872086416115,0.49702380952380953,-0.28943452380952384,0.0,-0.003507756320076474,0.47619047619047616,-7.277529761904762,-2.375,-0.05496942442235173,,,,absorption_then_exhaustion_30,3.0,,,
absorption_then_exhaustion_30 gap=23,sequence_gap,280,0.48214285714285715,-2.8151785714285715,-0.625,-0.045374304213375266,0.48214285714285715,-2.7142857142857144,-2.0,-0.034324262601994324,0.4785714285714286,-0.8026785714285715,-0.875,-0.009033933693866274,0.49642857142857144,-6.376785714285714,-0.75,-0.061100579224470264,,,,absorption_then_exhaustion_30,23.0,,,
