score_entry_threshold,min_tier,stop_loss_ticks,target_ticks,exit_on_opposing_score,max_bars_in_trade,total_trades,win_rate,profit_factor,max_drawdown_dollars,sharpe,avg_pnl_per_trade,net_pnl
80,1,8,32,0.3,15,8,0.75,14.370420353352705,8.704842090664897,18.423512016993314,90.69316491377322,725.5453193101857
80,1,8,32,0.3,30,8,0.875,20.985578847939898,0.0,22.77461229275296,113.81816491377322,910.5453193101857
80,1,8,32,0.3,60,8,0.875,23.399971219907577,0.0,25.15239097872522,127.56816491377322,1020.5453193101857
80,1,8,32,0.5,15,8,0.75,14.370420353352705,8.704842090664897,18.423512016993314,90.69316491377322,725.5453193101857
80,1,8,32,0.5,30,8,0.875,20.985578847939898,0.0,22.77461229275296,113.81816491377322,910.5453193101857
80,1,8,32,0.5,60,8,0.875,23.399971219907577,0.0,25.15239097872522,127.56816491377322,1020.5453193101857
80,1,8,32,0.7,15,8,0.75,14.370420353352705,8.704842090664897,18.423512016993314,90.69316491377322,725.5453193101857
80,1,8,32,0.7,30,8,0.875,20.985578847939898,0.0,22.77461229275296,113.81816491377322,910.5453193101857
80,1,8,32,0.7,60,8,0.875,23.399971219907577,0.0,25.15239097872522,127.56816491377322,1020.5453193101857
80,1,8,40,0.3,15,8,0.75,15.01540378844986,8.704842090664897,17.893313964737413,95.06816491377322,760.5453193101857
80,1,8,40,0.3,30,8,0.875,22.96099078864073,0.0,20.758622919742717,125.06816491377322,1000.5453193101857
80,1,8,40,0.3,60,8,0.875,26.472834238775537,0.0,24.112822524583546,145.06816491377322,1160.5453193101857
80,1,8,40,0.5,15,8,0.75,15.01540378844986,8.704842090664897,17.893313964737413,95.06816491377322,760.5453193101857
80,1,8,40,0.5,30,8,0.875,22.96099078864073,0.0,20.758622919742717,125.06816491377322,1000.5453193101857
80,1,8,40,0.5,60,8,0.875,26.472834238775537,0.0,24.112822524583546,145.06816491377322,1160.5453193101857
80,1,8,40,0.7,15,8,0.75,15.01540378844986,8.704842090664897,17.893313964737413,95.06816491377322,760.5453193101857
80,1,8,40,0.7,30,8,0.875,22.96099078864073,0.0,20.758622919742717,125.06816491377322,1000.5453193101857
80,1,8,40,0.7,60,8,0.875,26.472834238775537,0.0,24.112822524583546,145.06816491377322,1160.5453193101857
80,1,8,60,0.3,15,8,0.75,15.01540378844986,8.704842090664897,17.893313964737413,95.06816491377322,760.5453193101857
80,1,8,60,0.3,30,8,0.875,24.607167405891417,0.0,20.317007324453414,134.44316491377322,1075.5453193101857
80,1,8,60,0.3,60,8,0.875,35.47193307974598,0.0,22.937777882956954,196.31816491377322,1570.5453193101857
80,1,8,60,0.5,15,8,0.75,15.01540378844986,8.704842090664897,17.893313964737413,95.06816491377322,760.5453193101857
80,1,8,60,0.5,30,8,0.875,24.607167405891417,0.0,20.317007324453414,134.44316491377322,1075.5453193101857
80,1,8,60,0.5,60,8,0.875,35.47193307974598,0.0,22.937777882956954,196.31816491377322,1570.5453193101857
80,1,8,60,0.7,15,8,0.75,15.01540378844986,8.704842090664897,17.893313964737413,95.06816491377322,760.5453193101857
80,1,8,60,0.7,30,8,0.875,24.607167405891417,0.0,20.317007324453414,134.44316491377322,1075.5453193101857
80,1,8,60,0.7,60,8,0.875,35.47193307974598,0.0,22.937777882956954,196.31816491377322,1570.5453193101857
80,1,12,16,0.3,15,8,0.75,6.3686436208254,8.704842090664897,14.091660026270628,53.19316491377322,425.54531931018573
80,1,12,16,0.3,30,8,0.875,8.519053802625647,0.0,18.87191438846828,66.31816491377322,530.5453193101857
80,1,12,16,0.3,60,8,0.875,8.519053802625647,0.0,18.87191438846828,66.31816491377322,530.5453193101857
80,1,12,16,0.5,15,8,0.75,6.3686436208254,8.704842090664897,14.091660026270628,53.19316491377322,425.54531931018573
80,1,12,16,0.5,30,8,0.875,8.519053802625647,0.0,18.87191438846828,66.31816491377322,530.5453193101857
80,1,12,16,0.5,60,8,0.875,8.519053802625647,0.0,18.87191438846828,66.31816491377322,530.5453193101857
80,1,12,16,0.7,15,8,0.75,6.3686436208254,8.704842090664897,14.091660026270628,53.19316491377322,425.54531931018573
80,1,12,16,0.7,30,8,0.875,8.519053802625647,0.0,18.87191438846828,66.31816491377322,530.5453193101857
80,1,12,16,0.7,60,8,0.875,8.519053802625647,0.0,18.87191438846828,66.31816491377322,530.5453193101857
80,1,12,24,0.3,15,8,0.75,9.14414494344873,8.704842090664897,16.650109103163114,80.69316491377322,645.5453193101857
80,1,12,24,0.3,30,8,0.875,11.849547125824595,0.0,22.189537767198946,95.69316491377322,765.5453193101857
